Well;WC_Division
X-715;100%
X-1924;100%
X-2565;100%
X-4099;100%
X-3500;100%
X-3979;100%
X-9412;100%
X-4869;100%
X-3873;100%
X-3679;100%
X-2653;100%
X-3731;100%
X-3416;100%
X-2319;100%
X-7399;100%
X-898;100%
X-8160;100%
X-10877;100%
X-7839;100%
X-10939;100%
X-6178;100%
X-4581;100%
X-10971;100%
X-4308;100%
X-7468;100%
X-8647;100%
X-6421;100%
X-8985;100%
X-3795;100%
X-332;100%
X-2825;100%
X-9329;100%
X-6641;100%
X-4537;100%
X-6879;100%
X-8237;100%
X-6464;100%
X-7292;100%
X-4424;100%
X-528;100%
X-2186;100%
X-4932;100%
X-7534;100%
X-3525;100%
X-9516;100%
X-4693;100%
X-3467;100%
X-3292;100%
X-5364;100%
X-9030;100%
X-1751;100%
X-1643;100%
X-620;100%
X-5065;100%
X-5789;100%
X-1222;100%
X-10440;100%
X-9505;100%
X-4604;100%
X-1862;100%
X-6212;100%
X-7725;100%
X-7249;100%
X-5628;100%
X-6826;100%
X-9344;100%
X-8560;100%
X-7587;100%
X-286;100%
X-4032;100%
X-8000;100%
X A-4494;100%
X-3983;100%
X-3431;100%
X-3978;100%
X-6420;100%
X-1872;100%
X-3003;100%
X-9655;100%
X-3934;100%
X-9242;100%
X-8112;100%
X-8272;100%
X-8029;100%
X-1419;100%
X-581;100%
X-1898;100%
X-3819;100%
X-8073;100%
X-5751;100%
X-1878;100%
X-3254;100%
X-5857;100%
X-2565;100%
X-4032;100%
X-7129;100%
X-7140;100%
